date,dau,likes,views,ctr,unique_viewed_posts,new_posts
2026-05-30,878,1560,7603,0.205182165,89,89
2026-05-31,2238,12816,62770,0.204173968,178,97
2026-06-01,3105,20958,105526,0.198605083,191,61
2026-06-02,3721,23800,118996,0.200006723,211,87
2026-06-03,4617,34504,174454,0.197782797,214,70
2026-06-04,4728,33604,168419,0.199526182,221,76
2026-06-05,4890,37604,184971,0.203296733,238,92
2026-06-06,5878,46308,231423,0.200101114,226,61
2026-06-07,6771,48414,240955,0.200925484,236,92
2026-06-08,7667,64790,324429,0.199704712,224,77
2026-06-09,7773,60423,299437,0.201788690,235,79
2026-06-10,8891,66198,318998,0.207518542,211,65
2026-06-11,8641,62175,299557,0.207556492,187,58
2026-06-12,8567,57028,271211,0.210271707,164,52
2026-06-13,8980,54446,261839,0.207936938,159,49
2026-06-14,9660,64310,305102,0.210781968,188,87
2026-06-15,10312,78993,379727,0.208025766,196,60
2026-06-16,10914,70148,357675,0.196122178,178,54
2026-06-17,11239,61371,313869,0.195530619,196,70
2026-06-18,10884,76565,367357,0.208421236,205,83
2026-06-19,10814,87162,422667,0.206219080,217,78
2026-06-20,11567,97368,464992,0.209397151,209,60
2026-06-21,11739,90847,429074,0.211728047,193,50
2026-06-22,12501,73362,354639,0.206863881,177,58
2026-06-23,12597,78507,367873,0.213407888,180,72
2026-06-24,13207,103582,471869,0.219514314,188,72
2026-06-25,12696,93692,441660,0.212136032,187,59
2026-06-26,12651,89429,420498,0.212674020,209,105
2026-06-27,12968,79586,383221,0.207676510,185,53
2026-06-28,13201,77761,366238,0.212323680,178,69
2026-06-29,13928,97688,458803,0.212919270,195,80
2026-06-30,14540,114920,549607,0.209094862,203,72
2026-07-01,14774,120932,581472,0.207975620,230,83
2026-07-02,14276,126519,583554,0.216807699,211,89
2026-07-03,13996,109499,493534,0.221867186,198,69
2026-07-04,14517,112304,531289,0.211380247,185,57
2026-07-05,14593,94052,459383,0.204735482,201,79
2026-07-06,15414,104125,512583,0.203137833,191,59
2026-07-07,15352,107330,504253,0.212849502,183,50
2026-07-08,15549,102839,487827,0.210810390,192,79
2026-07-09,17452,129325,635840,0.203392363,233,99
2026-07-10,14829,142206,672158,0.211566328,243,79
2026-07-11,15526,196843,885799,0.222220842,241,67
2026-07-12,15867,220892,1015529,0.217514222,280,99
2026-07-13,16341,248806,1166286,0.213331893,282,66
2026-07-14,16469,230044,1090531,0.210946777,289,66
2026-07-15,16632,230093,1085231,0.212022141,286,75
2026-07-16,16705,257747,1224097,0.210560928,319,105
2026-07-17,16195,228125,1106173,0.206229044,313,57
2026-07-18,14073,97982,461120,0.212486988,175,16
2026-07-19,17510,133029,645810,0.205987829,235,127
2026-07-20,17703,127420,610008,0.208882506,198,50
2026-07-21,18134,115570,552851,0.209043666,196,72
2026-07-22,18651,121752,583000,0.208837050,209,82
2026-07-23,18365,149577,686573,0.217860300,197,59
2026-07-24,18038,143119,653026,0.219162790,214,91
2026-07-25,18623,154857,730893,0.211873694,195,52
2026-07-26,19376,129397,617533,0.209538600,185,61
2026-07-27,19594,129435,622100,0.208061405,202,85
2026-07-28,20061,132894,659099,0.201629801,201,61
2026-07-29,20400,120249,590392,0.203676540,200,71
2026-07-30,20198,139146,661020,0.210501952,193,67
2026-07-31,19878,151952,719022,0.211331503,213,90
